Date,Close_NIKE,Open_NIKE,High_NIKE,Low_NIKE,Close_DJIA,Open_DJIA,High_DJIA,Low_DJIA
10/9/2018,75.91,80.37,81.49,80.16,26430.57,26469.19,26539.94,26324.16
10/10/2018,74.99,79.66,80.04,74.77,25598.74,26441.73,26441.73,25593.65
10/11/2018,77.48,74.77,77.07,73.9,25052.83,25518.39,25683.64,24899.77
10/12/2018,76.48,75.97,76.86,74.91,25339.99,25407.63,25467.55,25000.83
10/15/2018,75.6,75.77,76.16,74.97,25250.55,25332.46,25482.42,25243.88
10/16/2018,74.21,75.6,77.65,75.32,25798.42,25351.53,25817.68,25351.53
10/17/2018,74.9,77.52,77.8,75.94,25706.68,25705.87,25810.09,25479.16
10/18/2018,73.35,77.4,77.41,75,25379.45,25645.56,25691.46,25236.01
10/19/2018,72.12,75.83,76.05,74.14,25444.34,25421.09,25608.71,25350.02
10/22/2018,73.1,74.65,75.21,74.3,25317.41,25492.14,25561.34,25236.05
10/23/2018,72.07,74.19,74.38,72.07,25191.43,25038.46,25307.7,24768.79
10/24/2018,72.19,73.47,74.61,71.95,24583.42,25172.88,25306.23,24533.19
10/25/2018,74.51,72.69,73.5,72.23,24984.55,24736.54,25104.29,24645.56
10/26/2018,75.04,72,72.71,70.69,24688.31,24770.25,24916.16,24445.19
10/29/2018,76.79,73.26,74.01,71.39,24442.92,24818.98,25040.58,24122.23
10/30/2018,76.58,73.07,74.64,72.81,24874.64,24482.04,24906.68,24415.69
10/31/2018,77.53,75.5,76.34,74.92,25115.76,25008.82,25336.55,25008.82
11/1/2018,76.57,75.23,76.84,74.84,25380.74,25142.08,25396.47,25108.11
11/2/2018,77.97,77.53,78.59,75.71,25270.83,25443.6,25578.98,25078.72
11/5/2018,77.78,76.49,77.77,76.05,25461.7,25261.47,25507.35,25261.47
11/6/2018,76.36,77.34,77.58,76.36,25635.01,25452.83,25651.86,25444.9
11/7/2018,75.1,76.94,78.23,76.57,26180.3,25788.46,26200.14,25765.88
11/8/2018,75.2,77.69,78.16,77.24,26191.22,26139.59,26277.82,26081.9
11/9/2018,75.2,77.71,77.77,75.53,25989.3,26149.11,26161.49,25882.91
11/12/2018,74.33,76.35,76.77,74.99,25387.18,25959.33,25966.71,25340.51
11/13/2018,74.74,75.53,76.27,74.84,25286.49,25321.21,25511.03,25193.78
11/14/2018,72.52,76.32,77.49,74.89,25080.5,25388.08,25501.29,24935.82
11/15/2018,71.12,74.44,74.67,72.89,25289.27,25061.48,25354.56,24787.79
11/16/2018,72.37,73.76,75.52,73.06,25413.22,25242.35,25510.23,25147.8
11/19/2018,71.49,74.69,74.75,71.86,25017.44,25392.61,25392.61,24900.98
11/20/2018,72.71,70.49,72.07,69.52,24465.64,24618.68,24707.26,24368.98
11/21/2018,72.09,71.99,72.9,71.81,24464.69,24541.65,24669.79,24463.28
11/23/2018,74.66,72.05,72.52,71.41,24285.95,24336.4,24408.8,24268.74
11/26/2018,74.34,72.34,73,72.27,24640.24,24364.13,24673.29,24364.13
11/27/2018,75.12,72.28,72.55,71.3,24748.73,24557.02,24750.73,24416.03
11/28/2018,77.94,72.3,74.76,72.3,25366.43,24832.84,25368.93,24832.84
11/29/2018,75.79,74.64,74.95,73.32,25338.84,25343.65,25479.04,25202.79
11/30/2018,75.54,74.18,75.48,73.9,25538.46,25307.14,25549.71,25250.97
12/3/2018,73.34,77.1,79,76.93,25826.43,25779.57,25980.21,25670.51
12/4/2018,72.51,77.42,78.4,75.41,25027.07,25752.56,25773.12,25008.11
12/6/2018,73.57,74.37,75.57,73.59,24947.67,24737.42,24951.01,24242.22
12/7/2018,74.32,75.04,75.97,72.87,24388.95,24918.82,25095.62,24284.78
12/10/2018,72.93,73.1,73.71,70.61,24423.26,24360.95,24500.81,23881.37
12/11/2018,72.53,73.87,74.57,72.56,24370.24,24719.91,24791.26,24221.06
12/12/2018,69.9,74.52,75.28,73.51,24527.27,24509.09,24828.29,24509.09
12/13/2018,71.15,74.5,74.59,72.59,24597.38,24575.86,24740.96,24473.29
12/14/2018,68.97,71.97,73.65,71.41,24100.51,24408.04,24431.14,24033.79
12/17/2018,67.53,71.37,71.77,69.46,23592.98,23986.83,24088.08,23456.88
12/18/2018,72.37,70.9,72.41,70.43,23675.64,23769.13,23927.77,23516.02
12/19/2018,68.1,71.45,72,68.32,23323.66,23693.33,24057.34,23162.64
12/20/2018,73.01,68.73,69.57,66.53,22859.6,23224.12,23282.2,22644.31
12/21/2018,73.67,73.29,74.29,71.25,22445.37,22871.74,23254.59,22396.34
12/24/2018,73.34,71.4,71.93,68.08,21792.2,22317.28,22339.87,21792.2
12/26/2018,74.14,68.7,73.01,68.65,22878.45,21857.73,22878.92,21712.53
12/27/2018,74.06,72.18,73.73,70.99,23138.82,22629.06,23138.89,22267.42
12/28/2018,72.75,73.97,74.46,72.57,23062.4,23213.61,23381.88,22981.33
12/31/2018,74.65,73.98,74.46,73.52,23327.46,23153.94,23333.18,23118.3
1/2/2019,75.72,72.79,74.64,72.19,23346.24,23058.61,23413.47,22928.59
1/3/2019,76.73,73.25,73.32,71.21,22686.22,23176.39,23176.39,22638.41
1/4/2019,76.59,73.45,75.12,73.12,23433.16,22894.92,23518.64,22894.92
1/7/2019,76.42,74.74,76.37,74.3,23531.35,23474.26,23687.74,23301.59
1/8/2019,76.04,76.83,77.4,76.2,23787.45,23680.32,23864.65,23581.45
1/9/2019,76.09,76.97,77.15,76.14,23879.12,23844.27,23985.45,23776.56
1/10/2019,77.88,75.64,77.34,75.46,24001.92,23811.11,24014.78,23703.25
1/11/2019,77.68,76.34,76.89,75.8,23995.95,23940.01,23996.32,23798.16
1/14/2019,79.13,75.46,76.81,75.46,23909.84,23880.53,23964.9,23765.24
1/15/2019,80.45,76.19,77.98,76.13,24065.59,23914.11,24099.14,23887.93
1/16/2019,80.75,78,78.85,77.59,24207.16,24139.91,24288.61,24119.72
1/17/2019,80.5,77.54,79.4,77.31,24370.1,24147.09,24474.46,24088.9
1/18/2019,80.44,79.95,80.97,79.74,24706.35,24534.19,24750.22,24459.03
1/22/2019,80.61,80.33,81.31,80.2,24404.48,24607.76,24607.76,24244.31
